Sr,Name,Total Volume (cft),Branch
540,Adhoc/05/2018,1200,Zhemgang Unit
541,O/116/2020,955.75,Changkhaphu Unit
542,KD/08/2021,1360.88,Khotokha Unit
543,KD/25/2021,1191.92,Khotokha Unit
544,KKFMU/20/2020,434.48,Khaling Kharungla Unit
545,KKFMU/09/2020-1,232.92,Khaling Kharungla Unit
546,KD/23/2020,1666.43,Khotokha Unit
547,SD/12/2021,89.26,Wangdue
548,WSC/MC/21/109,3.01,Ramtokto
549,Ad-hoc/23/(E) 2020,19,Zhemgang Unit
550,O/131/2020,249.71,Changkhaphu Unit
551,O/132/2020,178.22,Changkhaphu Unit
552,Adhoc / 05'2019,1200,Zhemgang Unit
553,LZ/10/2020-2,56.27,Lhamozingkha Unit
554,LZ/10/2020-1,56.27,Lhamozingkha Unit
555,KD/19/2021,576.53,Khotokha Unit
556,KD/18/2021,1497.98,Khotokha Unit
557,RFMU/08/2021,64.3,Rongmanchu Unit
558,RFMU/02/2019(B),5.25,Rongmanchu Unit
559,KD/20/2021,450.45,Khotokha Unit
560,KKFMU/08/2020 (a),80.81,Khaling Kharungla Unit
561,KKFMU/08/2020,116.07,Khaling Kharungla Unit
562,KD/120/2020(A),836.67,Khotokha Unit
563,KD/06/2021-1,959.06,Khotokha Unit
564,KD/06/2021,1427.11,Khotokha Unit
565,PDA/04/2021,79.77,Punakha Unit
566,Ad-hoc/10/ ( E ) 2020,382.61,Zhemgang Unit
567,UK/45/2019(A),655.02,Changkhaphu Unit
568,KKFMU/07/2020,155.23,Khaling Kharungla Unit
569,TDA/20/2019-1,1098.48,Rodungla Unit
570,TD/110/2018-1,1306.08,Rodungla Unit
571,TDA/02/2019-2,1635.24,Rodungla Unit
572,TDA/09/19-1,1287.43,Rodungla Unit
573,TD/105/2018-1,862.41,Rodungla Unit
574,TD/119/2018-1,1016.96,Rodungla Unit
575,TD/182/2018,1621.87,Rodungla Unit
576,LZ/01/2020(Logs),576.62581,Lhamozingkha Unit
577,DFMU/ad-hoc/02,18.05,Dongdeychu Unit
578,NTD/03/2021,310.29,Nganglam Unit
579,D/154/2020,329.533699,Gidakom Unit
580,SCD/01/2021-3,433.57,SamdrupJongkhar Unit
581,KKFMU/16/2020 (b),823.97,Khaling Kharungla Unit
582,SCD/01/2021-2,433.57,SamdrupJongkhar Unit
583,SCD/01/2021-1,433.57,SamdrupJongkhar Unit
584,SCD/01/2021,433.57,SamdrupJongkhar Unit
585,D/185/2020,429.62,Gidakom Unit
586,SR/04/2021-1,959.69,Samtse Unit
587,SR/04/2021,959.69,Samtse Unit
588,KD/112/2020,395.69,Khotokha Unit
589,MTD/S60/2021,13.43,Lingmethang Unit
590,MTD/S55/2021,48.32,Lingmethang Unit
591,KKFMU/10/2020 (B),434.12,Khaling Kharungla Unit
592,KKFMU/06/2020,633.6,Khaling Kharungla Unit
593,GPR/04/2021,284.16,Gelephu Unit
594,RFMU/S01/2019(A),3.11,Rongmanchu Unit
595,RFMU/FS08/2021,3.11,Rongmanchu Unit
596,KD/04/2020,1236.15,Khotokha Unit
597,KD/120/2020,1036.61,Khotokha Unit
598,KD/09/2021,1400.38,Khotokha Unit
599,KD/03/2021,383.46,Khotokha Unit
600,KD/11/2021,1200.29,Khotokha Unit
601,KD/10/2021,1545.89,Khotokha Unit
602,KD/02/2021,518.27,Khotokha Unit
603,GDA/02/2021,384.57,Gasa Unit
604,GDA/01/2021,249.9,Gasa Unit
605,MTD/38/2021,532.08,Lingmethang Unit
606,KD/01/2021,1312.76,Khotokha Unit
607,D/152/2019,260.623024,Gidakom Unit
608,MTD/S27/2021,3.65,Lingmethang Unit
609,KKFMU/18/2020,712.08,Khaling Kharungla Unit
610,KKFMU/10/2020,524.57,Khaling Kharungla Unit
611,GPR/97/2020,272.07,Gelephu Unit
612,SJD/03/2021,333.71,SamdrupJongkhar Unit
613,WSC/BP/20/413-4,3.14,Ramtokto
614,SR/31/2020-1,1270.55,Samtse Unit
615,test lot,400,Zonglela Unit
616,Test 1,9,Khotokha Unit
617,MTD/14/2021,129.11,Lingmethang Unit
618,SR/24/2020,182.44,Samtse Unit
619,SR/27/2020,534.37,Samtse Unit
620,SR/28/2020,365.34,Samtse Unit
621,SR/29/2020,645.16,Samtse Unit
622,SR/30/2020,882.58,Samtse Unit
623,SR/33/2020,680.47,Samtse Unit
624,SR/36/2020,245.76,Samtse Unit
625,SR/37/2020,267.07,Samtse Unit
626,SR/39/2020,65.08,Samtse Unit
627,SR/32/2020-1,2111.26,Samtse Unit
628,SR/32/2020,2111.26,Samtse Unit
629,SR/31/2020,1270.55,Samtse Unit
630,KKFMU/12/2020,503.51,Khaling Kharungla Unit
631,KKFMU/13/2020,306.27,Khaling Kharungla Unit
632,MTD/125/2020,207.13,Lingmethang Unit
633,O/138/2020,350.17,Changkhaphu Unit
634,KFMU/35/2017(B),66.33,Korilla Unit
635,O/01/2021,542.4,Changkhaphu Unit
636,WSC/MC/2020/480(A),4.72,Ramtokto
637,wsc/mc/2020/480(b),4.72,Ramtokto
638,GAP/59/2020(A),699.95,Gasa Unit
639,KKFMU/16/2020,1225.25,Khaling Kharungla Unit
640,KKFMU/15/2020,965.75,Khaling Kharungla Unit
641,SJD/48/2020,23.18,SamdrupJongkhar Unit
642,UK/299/2020,318.45,Karshong Unit
643,SD/36/2020,831.73,Wangdue
644,MTD/108/2020,630.29,Lingmethang Unit
645,DFMU/04/2020-1,1868.28,Dongdeychu Unit
646,DFMU/04/2020,1868.28,Dongdeychu Unit
647,DFMU/06(A)/2020-1,55,Lingmethang Unit
648,DFMU/01/2020-2,1949.7,Dongdeychu Unit
649,DFMU/01/2020-1,1949.7,Dongdeychu Unit
650,SR/38(A)/2020,425.21,Samtse Unit
651,MTD/S117/2020,1.56,Lingmethang Unit
652,MTD/02/2020,318.44,Lingmethang Unit
653,KKFMU/09/2020,232.92,Khaling Kharungla Unit
654,O/122/2020,173.083333,Changkhaphu Unit
655,SR/03/2020(Logs)-1,73.83,Samtse Unit
656,SR/03/2020(Logs),73.83,Samtse Unit
657,UK/43/2019(B),0,Changkhaphu Unit
658,UK/43/2019(A),0,Changkhaphu Unit
659,DFMU/09/2020-2,26.44,Dongdeychu Unit
660,DFMU/03/2020-3,116.28,Dongdeychu Unit
661,DFMU/03/2020-2,116.28,Dongdeychu Unit
662,DFMU/09/2020-1,26.44,Dongdeychu Unit
663,DFMU/09/2020,89.43,Dongdeychu Unit
664,DFMU/03/2020-1,284.69,Dongdeychu Unit
665,DFMU/03/2020,284.69,Dongdeychu Unit
666,RH/11/2020 (Lhamozingkha ),93.32,Lhamozingkha Unit
667,CUP/2020/covid,516.51,Gedu Unit
668,MC/2020/covid,14905.11,Gedu Unit
669,LZ/09/2020,208.95,Lhamozingkha Unit
670,LZ/10/2020,56.27,Lhamozingkha Unit
671,O/126/2020,0,Changkhaphu Unit
672,GD/2020/08(B)1,282.33,Gedu Unit
673,GD/2020/08(A)-2,304.18,Gedu Unit
674,GD/2020/08(A)-1,304.18,Gedu Unit
675,GD/2020/08(A),304.18,Gedu Unit
676,KD/61/2020(A)-1,516,Khotokha Unit
677,KD/61/2020(A),516,Khotokha Unit
678,GPR/68/2020,627.67,Gelephu Unit
679,KKFMU/05/2020,501.28,Khaling Kharungla Unit
680,MTD/S196/2020,89.67,Lingmethang Unit
681,TD/181/2020,0,Rodungla Unit
682,O/30/2020,465.25,Changkhaphu Unit
683,Road/head/2020/03,45,Gedu Unit
684,lll,0,Gedu Unit
685,MhW/Covid,0,Gedu Unit
686,WSC/MHW/2020 (227),0,Ramtokto
687,wsc/mhw/2020/227(A),0,Ramtokto
688,TD/182/2020,0,Rodungla Unit
689,WSC/MHW/2020/227,0,Ramtokto
690,GAP/17/2020,0,Gasa Unit
691,PTD/11/2020 log,407.530007,Phuntsholing Unit
692,KEA/69/2020,105.93,Zhemgang Unit
693,O/119/2020,864.583333,Changkhaphu Unit
694,KEA/70/2020,221.72,Zhemgang Unit
695,DFMU/06(A)/2020,55,Lingmethang Unit
696,PTD/38/19,156.69,Khengzor Unit
697,WSC/BP/20/413-3,3.14,Ramtokto
698,WSC/BP/20/413-2,3.14,Ramtokto
699,WSC/BP/20/413-1,3.14,Ramtokto
700,SR/39' 2019-1,824.28,Samtse Unit
701,WSC/BP/20/413,3.14,Ramtokto
702,SCD/23/2020,23.873207,SamdrupJongkhar Unit
703,SCD/22/2020,42.971772,SamdrupJongkhar Unit
704,RH/10/2020,0,Phuntsholing Unit
705,PTD/03/2020,259.83554,Phuntsholing Unit
706,TDA/20/2019,1096.35,Rodungla Unit
707,GPR/41/2020-1,129.71,Gelephu Unit
708,GPR/42-1,1253.9,Gelephu Unit
709,GPR/42,1253.9,Gelephu Unit
710,GPR/41/2020,129.71,Gelephu Unit
711,D/139/2020,1002.677999,Gidakom Unit
712,TD/362/2019-1,168.41,Rodungla Unit
713,SCD/21/2020,1718.870886,SamdrupJongkhar Unit
714,TD/171/2020,2169.39,Rodungla Unit
715,WFD/FPES-11/2019/500(C),306.81,Changkhaphu Unit
716,TD/146/2020,992.92,Rodungla Unit
717,TD/362/2019,168.41,Rodungla Unit
718,D/06/2019,680.42,Gidakom Unit
719,Adhoc/27/2017,51.67,Zhemgang Unit
720,Adhoc/56'2019,449.96,Zhemgang Unit
721,Adhoc/53'2019,72.94,Zhemgang Unit
722,Adhoc/52'2019,429.24,Zhemgang Unit
723,Adhoc/49'2019-1,149.65,Zhemgang Unit
724,Adhoc/47'2019,43.71,Zhemgang Unit
725,Adhoc/40'2019,21.03,Zhemgang Unit
726,Adhoc/39/2019,33.13,Zhemgang Unit
727,Adhoc/38'2019,107.95,Zhemgang Unit
728,Adhoc/35/2019,101.86,Zhemgang Unit
729,Adhoc/33/2019,120.5,Zhemgang Unit
730,Adhoc/16/2019,161.5,Zhemgang Unit
731,Adhoc/01/2020,168.84,Zhemgang Unit
732,Adhoc/02/2020,551.62,Zhemgang Unit
733,Adhoc/03/2020,65.61,Zhemgang Unit
734,ZU/Adhoc/06/2020,102.76,Zhemgang Unit
735,Adhoc/07/2020,165.22,Zhemgang Unit
736,ZU/Adhoc/08/2020,74.33,Zhemgang Unit
737,Adhoc/11/2020,241.85,Zhemgang Unit
738,Adhoc/12/2020,307.69,Zhemgang Unit
739,Adhoc/13/2020,109.17,Zhemgang Unit
740,"Adhoc / 23, 2017",163.94,Zhemgang Unit
741,PTD/02/2020-1,25.15,Phuntsholing Unit
742,Adhoc/25/2019,271.03,Zhemgang Unit
743,D/122/2020,331.722222,Gidakom Unit
744,PTD/02/2020,0,Phuntsholing Unit
745,KEA/101/2020,0,Zhemgang Unit
746,SR// 33'2019,151.039479,Samtse Unit
747,SR/03/2020,83.12,Samtse Unit
748,GPD/85/2020(A),1265.62,Gogona Unit
749,JTD/25/2020,907.58,Khotokha Unit
750,JTD/24/2020,890.94,Khotokha Unit
751,JTD/23/2020,1564.9,Khotokha Unit
752,JTD/22/2020,2095.27,Khotokha Unit
753,JTD/21/2020,1040.11,Khotokha Unit
754,JTD/20/2020,1698.1,Khotokha Unit
755,GAP/47/2020(A)-1,849.32,Gogona Unit
756,GAP/47/2020(A),849.32,Gogona Unit
757,WSC/BP/20.32(A)-2,71.64,Ramtokto
758,WSC/BP/20.32(A)-1,71.64,Ramtokto
759,WSC/BP/20.32(A),71.64,Ramtokto
760,LZ/02/2020(B),351.95,Lhamozingkha Unit
761,LZ/03/2020,256.172771,Lhamozingkha Unit
762,LZ/02/2020 (A),157.614558,Lhamozingkha Unit
763,LZ/20/2019,348.31,Lhamozingkha Unit
764,LZ/17/2019,577.73,Lhamozingkha Unit
765,LZ/26/2019,30.33,Lhamozingkha Unit
766,LZ/05/2019,163.09,Lhamozingkha Unit
767,Test/01,1,Changkhaphu Unit
768,LZ/04/2019,0,Lhamozingkha Unit
769,LZ/02/2019,0,Lhamozingkha Unit
770,LZ/03/2019,0,Lhamozingkha Unit
771,LZ/01/2019,0,Lhamozingkha Unit
772,PTD/39/19,65.29,Khengzor Unit
773,KD/107/2019(A),103.4,Khotokha Unit
774,TAP/06/2020(A),34.04,Tsirang Unit
775,GPD/75/2020(B),38.67,Gogona Unit
776,TAP/07/2020(B),295.07,Tsirang Unit
777,TAP/07/2020 (A),196.7,Tsirang Unit
778,SJD/21/2020,200.7,SamdrupJongkhar Unit
779,SR/10/2020,81.47,Samtse Unit
780,SR/13/2020,340.568425,Samtse Unit
781,SR/ 54'2019-1,194.51,Samtse Unit
782,O/63/2020-1,466.651562,Changkhaphu Unit
783,O/63/2020,466.651562,Changkhaphu Unit
784,O/53/2020(C),104.06,Changkhaphu Unit
785,O/08/2020(B),413.47952,Changkhaphu Unit
786,DFMU/45/2019,380.15,Dongdeychu Unit
787,DFMU/46/2019,300.07,Dongdeychu Unit
788,DFMU/42/2019,63.56,Dongdeychu Unit
789,SR/27/2019-2,36.24,Phuntsholing Unit
790,SR/27/2019-1,36.24,Phuntsholing Unit
791,SR/ 57'2019-1,311.57,Samtse Unit
792,SR/ 52'2019,110.583788,Samtse Unit
793,WSC/MC/20/3758,1.67,Ramtokto
794,SR/ 44'2019,75.348704,Samtse Unit
795,SR/ 40'2019-1,89.52,Samtse Unit
796,SR/ 53'2019,117.638542,Samtse Unit
797,SR/43/2019-1,906.15,Samtse Unit
798,SR/50/2019,244.63,Samtse Unit
799,SR/48/2019-1,157.42,Samtse Unit
800,SR/ 48'2019,157.391852,Samtse Unit
801,SR/ 22'2019-1,72.77,Samtse Unit
802,WSC/TD-360-357-20/41,102816.5,Ramtokto
803,SCD/19/2020,121.35,SamdrupJongkhar Unit
804,PTD/06/2019,48.429452,Phuntsholing Unit
805,PTD/062020,73.972678,Phuntsholing Unit
806,PTD/04/2019-1,52.93,Phuntsholing Unit
807,WSC/TD-41-37/20/36(A)(A),1033.22,Ramtokto
808,PTD/07/2020,45.838215,Phuntsholing Unit
809,SR/ 43'2019,906.156193,Samtse Unit
810,PTD/04/2020- B,8.578881,Phuntsholing Unit
811,PTD/04/2020-1,315.319746,Phuntsholing Unit
812,SCD/16/2020,807.45,Khengzor Unit
813,SR/ 10'2019-1,18,Samtse Unit
814,SR/ 10'2019,18.046929,Samtse Unit
815,SR/ 23'2019,323.416742,Samtse Unit
816,SR/ 25'2019,96.616857,Samtse Unit
817,SR/ 26'2019,202.020933,Samtse Unit
818,SR/ 27'2019,36.274564,Samtse Unit
819,SR/ 32'2019,16.35812,Samtse Unit
820,SR/ 37'2019,354.952033,Samtse Unit
821,SR/ 36'2019,114.054245,Samtse Unit
822,SR/ 40'2019,89.526736,Samtse Unit
823,SR/ 34'2019,10.569973,Samtse Unit
824,SR/ 20'2019,128.638889,Samtse Unit
825,SR/ 21'2019,49.361111,Samtse Unit
826,SR/ 22'2019,72.763889,Samtse Unit
827,SR/ 45'2019,600.388492,Samtse Unit
828,SR/ 46'2019,116.038706,Samtse Unit
829,SR/ 47'2019,124.270833,Samtse Unit
830,SR/ 51'2019,224.949712,Samtse Unit
831,SR/ 54'2019,194.515794,Samtse Unit
832,SR/ 56'2019,90.891708,Samtse Unit
833,SR/27/2019,36.274564,Phuntsholing Unit
834,SR/24'2019,77.801233,Samtse Unit
835,SR/39' 2019,824.215831,Samtse Unit
836,SR/42'2019,578.551692,Samtse Unit
837,SR/48/2019,157.42,Samtse Unit
838,UK/143/2020-1,2313.25,Karshong Unit
839,RFMU/S10/2020,52.4,Rongmanchu Unit
840,RFMU/S9/2020,67.66,Rongmanchu Unit
841,DFMU/47S/19 (1),22.42,Dongdeychu Unit
842,DFMU/06/2018,0,Dongdeychu Unit
843,DFMU/16/17-a,17.32,Dongdeychu Unit
844,UK/143/2020,2313.25,Karshong Unit
845,KFMU/55/2014-1,65.96,Korilla Unit
846,KFMU/55/2014,65.96,Korilla Unit
847,Ad-Yon/47/2019,896.130551,Khaling Kharungla Unit
848,KFMU/28/2019,65.91,Korilla Unit
849,RFMU/s27/2020,6.7,Rongmanchu Unit
850,RFMU/26/2020-1,40.37,Rongmanchu Unit
851,RFMU/24/2020,9.24,Rongmanchu Unit
852,RFMU/23/2020,17.48,Rongmanchu Unit
853,RFMU/s29/2020,40.78,Rongmanchu Unit
854,NTD/3/2020,0,Nganglam Unit
855,NTD/2/2020,0,Nganglam Unit
856,SCD/03/2020,48.05,SamdrupJongkhar Unit
857,WFD/FPES-11/2019/500(B),21.88,Gogona Unit
858,BD/08/2019,239.74,Wangdue
859,GPD/73/2020,1149.65,Gogona Unit
860,TAP/05/2020,481.35,Tsirang Unit
861,O/66/2020(A),232.575875,Changkhaphu Unit
862,O/57/2020,1026.25,Changkhaphu Unit
863,GPD/59/2020(B),90.18,Gogona Unit
864,GAP-05/2020-1,115.546321,Gasa Unit
865,GAP-05/2020,115.546321,Gasa Unit
866,JTD/07/2020,2272.7,Khotokha Unit
867,PTD/37/2018,732.69,Khengzor Unit
868,DFMU/01/2020,1494.7,Dongdeychu Unit
869,O/198/2019(B),125.23,Changkhaphu Unit
870,O/64/2020(A),57.89,Gidakom Unit
871,O/64/2020(B),180.76,Gidakom Unit
872,MTD/s-126/2020,250.28,Lingmethang Unit
873,GPR/17/2020,81.23,Gelephu Unit
874,DFMU/Ad-hoc/16/2020,352,Dongdeychu Unit
875,DFMU/Ad-hoc/15/2020,80.63,Dongdeychu Unit
876,D/81-1/2020,125.608988,Gidakom Unit
877,D/81/2020,0,Gidakom Unit
878,UK/91/2020-1,2415.68,Karshong Unit
879,WSC/BP/20/331,95.37,Ramtokto
880,UK/95/2020,189.98,Karshong Unit
881,UK/91/2020,2415.68,Karshong Unit
882,UK/13/2020,590.33,Karshong Unit
883,Kkfmu/17(1)/2019,172.277778,Khaling Kharungla Unit
884,kkfmu/09/2019,219.055556,Khaling Kharungla Unit
885,TDA/16/2019,477.44,Rodungla Unit
886,UK/20/2020,1741.53,Karshong Unit
887,GPD/62/2020,981.9,Gogona Unit
888,SJD/23/2020-1,55.020833,SamdrupJongkhar Unit
889,SJU/21/2020,111.597222,SamdrupJongkhar Unit
890,SJD/23/2020,55.020833,SamdrupJongkhar Unit
891,NTD/15/2020-1,189.3,Nganglam Unit
892,NTD/15/2020,189.3,Nganglam Unit
893,Adhoc/11/2019,167.5,Zhemgang Unit
894,Adhoc/20/2019,115.42,Zhemgang Unit
895,Adhoc/19/2019,68.99,Zhemgang Unit
896,KEA/41/2020,871.16,Zhemgang Unit
897,UK/101/2020,1234.83,Karshong Unit
898,UK/71/2020,414.88,Karshong Unit
899,UK/65/2020,1049.56,Karshong Unit
900,UK/05/2020-1,172.43,Karshong Unit
901,UK/06/2020,1080.76,Karshong Unit
902,NTD/08/2020,55.89,Nganglam Unit
903,Ad/21/2019,196.17,Trongsa Unit
904,"Ad/21,2019",756.700347,Trongsa Unit
905,WSC/MC/20/271,1.24,Ramtokto
906,O/16/2020,533.666667,Changkhaphu Unit
907,MTD/S53/2020,186.42,Lingmethang Unit
908,RFMU/26/2020,40.37,Rongmanchu Unit
909,PG/30-2,161.01,Khengzor Unit
910,PG/30-1,161.01,Khengzor Unit
911,PG/30,161.01,Khengzor Unit
912,MTD/S49/2020-1,1101.28,Lingmethang Unit
913,MTD/12/2020,95.098256,Lingmethang Unit
914,MTD/S49/2020,13.74,Lingmethang Unit
915,KD/56/2020 (A),373.11,Khotokha Unit
916,GPD/04/2020 B-2,17.58,Gogona Unit
917,MTD/542020-1,666.96,Lingmethang Unit
918,MTD/542020,666.96,Lingmethang Unit
919,GPD/04/2020 B-1,17.53,Gogona Unit
920,JTD/04/2020 (A),20.628219,SamdrupJongkhar Unit
921,JTD/04/2020,20.628219,Nganglam Unit
922,O/56/2019(B),310.99,Changkhaphu Unit
923,O/198/2019(A),305.28,Changkhaphu Unit
924,SD/23/2020-1,12.98,Wangdue
925,SD/09/2020 (A)-1,306.06,Wangdue
926,SD/09/2020 (A),316.06,Wangdue
927,SD/23/2020,12.98,Wangdue
928,SD/45/2020,45.36,Wangdue
929,SD/53/2020,136.24,Khotokha Unit
930,KD/15/2020,1126,Khotokha Unit
931,KD/19/2020,1025.47,Khotokha Unit
932,DWBI/ST/30/2019,322.97,Wangdue
933,PTD/04/2020,323.898627,Phuntsholing Unit
934,KD/105/2019(B)-1,108.19,Khotokha Unit
935,KD/105/2019(B),367.93,Khotokha Unit
936,KD/105/2019(A)-1,706.94,Khotokha Unit
937,KD/103/2019(B),1343.58,Khotokha Unit
938,KD/100/2019(B)-1,588.35,Khotokha Unit
939,KD/100/2019(A),514.96,Khotokha Unit
940,O/45/2020,113.856407,Changkhaphu Unit
941,GPD/35/2020 (A),2080.85,Gogona Unit
942,GPD/35/2020 (B),7.36,Gogona Unit
943,GPD/130/2019 A,1290.19,Gogona Unit
944,TAP/02/2020 (Sunkosh),508.29,Tsirang Unit
945,KD/101/2019(B),1155.27,Khotokha Unit
946,KD/101/2019(A),88.89,Khotokha Unit
947,KD/25/2020(B),122.03,Khotokha Unit
948,KD/25/2020(A),1123.91,Khotokha Unit
949,KD/22/2020,1209.18,Khotokha Unit
950,KD/18/2020(A),1325.2,Khotokha Unit
951,KD/18/2020(B),10.61,Khotokha Unit
952,KD/17/2020,1117.91,Khotokha Unit
953,KD/11/2020,1040.03,Khotokha Unit
954,KD/94/2019(A)-1,947.97,Khotokha Unit
955,KD/94/2019(B)-1,17.52,Khotokha Unit
956,PTD/05/20,318.788545,Nganglam Unit
957,Cd-Ad/13/2020,7197.41,Dawathang Unit
958,Cd-Ad/13B/2020,3590.27,Dawathang Unit
959,UK/27/2020,926.73,Karshong Unit
960,UK/23/2020,1026.26,Karshong Unit
961,TD/03/2019,416.7,Tsirang Unit
962,TD/01/2019 (B),16.17,Tsirang Unit
963,TD/04/2019 (b),148.25,Tsirang Unit
964,O/10/2020(A)-1,283.364464,Changkhaphu Unit
965,O/10/2020(A),283.364464,Changkhaphu Unit
966,PTD/03/20-5,69.156038,Nganglam Unit
967,PTD/03/20-4,69.156038,Nganglam Unit
968,PTD/03/20-3,69.156038,Nganglam Unit
969,PTD/03/20-2,69.156038,Nganglam Unit
970,PTD/03/20-1,69.156038,Nganglam Unit
971,PTD/04/20,315.225801,Nganglam Unit
972,PTD/03/20,418.510577,Nganglam Unit
973,UK/05/2020,172.42,Karshong Unit
974,MTD/16/2020,636.79,Lingmethang Unit
975,KFMU/09/2020,104,Korilla Unit
976,GPD/04/2020 B,17.58,Gogona Unit
977,D/07/2020,204.40625,Gidakom Unit
978,MTD/18/2020,622.25,Khaling Kharungla Unit
979,RFMU/14-2,45.28,Rongmanchu Unit
980,RFMU/14-1,45.28,Rongmanchu Unit
981,RFMU/14,45.28,Rongmanchu Unit
982,GDP/68/2019,1005.55,Gogona Unit
983,GPD/85 B/2019,25.136497,Gogona Unit
984,GPD/85 C /2019,25.096709,Gogona Unit
985,GPD/06/2020-1,528.96,Gogona Unit
986,GPD/07/2020-1,369.85,Gogona Unit
987,GPD/08/2020-1,364.04,Gogona Unit
988,GPD/09/2020-1,357.42,Gogona Unit
989,GPD/09/2020,357.42,Gogona Unit
990,GPD/08/2020,364.04,Gogona Unit
991,GPD/07/2020,369.85,Gogona Unit
992,GPD/06/2020,528.96,Gogona Unit
993,O/11/2020,366.31,Changkhaphu Unit
994,O/12/2020,809.88,Changkhaphu Unit
995,SD/06/2020,151.71,Wangdue
996,KD/21/2019,1128.38,Khotokha Unit
997,KD/105/2019(A),0,Khotokha Unit
998,KD/86/2019(A),0,Khotokha Unit
999,KD/81/2019(B),934.94,Khotokha Unit
1000,KD/63/2019,911.257433,Khotokha Unit
1001,kd/112/2019(A),498.94,Khotokha Unit
1002,KD/112/2019(B),157.63,Khotokha Unit
1003,RFMU/05/2020,118.117111,Rongmanchu Unit
1004,PG/02/2020,26.287053,Khengzor Unit
1005,PG/03/202,253.928027,Khengzor Unit
1006,GPR/43/2019,87.91,Gelephu Unit
1007,KD/81/2019(A),0,Khotokha Unit
1008,KD/83/2019(A),0,Khotokha Unit
1009,KD/85/2019(B),0,Khotokha Unit
1010,KD/88/2019(A),0,Khotokha Unit
1011,KD/90/2019(B),0,Khotokha Unit
1012,KD/94/2019(B),0,Khotokha Unit
1013,KD/94/2019(A),0,Khotokha Unit
1014,KD/99/2019(A),0,Khotokha Unit
1015,KD/99/2019(B),803.91,Khotokha Unit
1016,KD/100/2019(B),0,Khotokha Unit
1017,KD/102/2019(B),0,Khotokha Unit
1018,KD/80/2019(A),1321.47,Khotokha Unit
1019,KD/80/2019(B),858.84,Khotokha Unit
1020,KD/77/2019(B),0,Khotokha Unit
1021,KD/82/2019 (b),26.43,Khotokha Unit
1022,GPD/108/2019,1396.02,Gogona Unit
1023,SJD/08/2010,21.732355,SamdrupJongkhar Unit
1024,GPR/01/2020-1,212.49,Gelephu Unit
1025,GPR/02/2020,394.7,Gelephu Unit
1026,GPR/01/2020,423.99,Gelephu Unit
1027,TD/355/3019,1476.76,Rodungla Unit
1028,WSC/BPB/19/229,0,Ramtokto
1029,WSC/,2.44,Ramtokto
1030,SR/ 57'2019,311.559164,Samtse Unit
1031,D/140/2019-1,793.763889,Gidakom Unit
1032,D/125/2019,701.515838,Gidakom Unit
1033,CD/176/2019,906.710471,Dawathang Unit
1034,KFMU/65/2017(G),95.54,Korilla Unit
1035,KFMU/53/17(E),29.67,Korilla Unit
1036,KFMU/17/2018 (C),40.45,Korilla Unit
1037,KD/19/2019 (a),999.85,Khotokha Unit
1038,KD/51/2019,1094.74,Khotokha Unit
1039,KD/54/2019,1006.22,Khotokha Unit
1040,UK/65/2019-1,368.41,Karshong Unit
1041,UK/60/2019-1,1060.74,Karshong Unit
1042,UK/65/2019,368.41,Karshong Unit
1043,UK/60/2019,1060.74,Karshong Unit
1044,DFMU/11/18-c,419.92,Dongdeychu Unit
1045,PDA-09/2019 (a),83.59,Gasa Unit
1046,PDA/09/2019 (b),773.22,Gasa Unit
1047,BD/04/2019 (a),129.9,Wangdue
1048,BD/04/2019 (b),104.73,Wangdue
1049,BD/07/2019 (d),126,Wangdue
1050,BD/07/2019 (c),101.55,Wangdue
1051,SR/43/2019,906.15,Samtse Unit
1052,O/168/19(B),589.68,Changkhaphu Unit
1053,O/81/2019,403.27,Changkhaphu Unit
1054,O/136/19,93595,Changkhaphu Unit
1055,KFMU/53/17(D),10.83,Korilla Unit
1056,O/114/19(B),374.54,Changkhaphu Unit
1057,O/114/19-1,374.54,Changkhaphu Unit
1058,0/111/19,254.9,Changkhaphu Unit
1059,O/111/19(B),192.69,Changkhaphu Unit
1060,O/114/19,1265.54,Changkhaphu Unit
1061,BD/03/2019 (a),187.07,Wangdue
1062,KFMU/17/2018,10.83,Korilla Unit
1063,BD/03/2019 (b),27.51,Wangdue
1064,DWBI/ST/63/2019,77.35,Wangdue
1065,RFMU/18/17(C),309.93,Rongmanchu Unit
1066,KST/02/2019,1024.38,Khotokha Unit
1067,Adhoc/49'2019,149.65,Zhemgang Unit
1068,TD/22/2018 (a),163.15,Tsirang Unit
1069,TD/22/2018 (b),1147.1,Tsirang Unit
1070,GPD/55/2019 (a),890.33,Gogona Unit
1071,PGD/69/2019,2081.8,Gogona Unit
1072,KFMU/20/2019-1,70.17,Korilla Unit
1073,KFMU/20/2019,70.17,Korilla Unit
1074,GPD/69/2019,2081.8,Gogona Unit
1075,GPD/58/2019 (A),1241.98,Gogona Unit
1076,GPD/66/2019 (a),1445.66,Gogona Unit
1077,GPD/66/2019 (b),69.29,Gogona Unit
1078,NTD/19 and 20/2019,928.59,Nganglam Unit
1079,NTD/19-20/2019,928.59,Nganglam Unit
1080,PTD: 03/2019,0,Nganglam Unit
1081,PTD.05/2019,0,Nganglam Unit
1082,D/140/2019,748.027778,Gidakom Unit
1083,SJU/20/2019,66.169124,SamdrupJongkhar Unit
