Sr,Name,Material Code,Material Name,Material Group,Marerial New Group,Has Serial No,Customer Code
55,101894,101894,Pre Filter/Water Separator (LS21P01035R100J1L) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
56,101895,101895,Hydraulic Filter/Repair Kit (LC52V01004R100) - SK520XDLC-10,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
57,103913,103913,Hydraulic Door Closer,Consumable,Building & Civil Stores & Spares,0,
58,103912,103912,Gate Valve ,Consumable,Building & Civil Stores & Spares,0,
59,103911,103911,Earthing Plate 24 x 24,Consumable,Building & Civil Stores & Spares,0,
60,103910,103910,GI Pipe 32mm,Consumable,Building & Civil Stores & Spares,0,
61,103909,103909,CPVC Bib Socket,Consumable,Building & Civil Stores & Spares,0,
62,103908,103908,Hyd. Hose Pipe for Wheel Loader,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
63,103907,103907,Sprocket for Excavator (30 holes),Consumable,Plant & Machinery Stores & Spares (Excavators),0,
64,103906,103906,Hydraulic Strainer for Excavator,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
65,103905,103905,Ribbon Cartridge for EVOLIS,Consumable,Office Printing & Stationery Stores & Spares,0,
66,103904,103904,Side Cutter Bolt,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
67,103903,103903,Nylon Thread for Grass Cutter,Consumable,Other Miscelleanous Stores & Spares,0,
68,103902,103902,Joint Socket,Consumable,Motor Vehicle Stores & Spares (GAD),0,
69,103901,103901,Propeller Shaft Bolt with Oil Seal,Consumable,Motor Vehicle Stores & Spares (GAD),0,
70,103900,103900,Nut & Bolt (18/19),Consumable,Motor Vehicle Stores & Spares (GAD),0,
71,103899,103899,Shackle Pin Bush - RAER (PITAL),Consumable,Motor Vehicle Stores & Spares (GAD),0,
72,103898,103898,Cross Member NUT & BOLT -1617 (Oil Seal Type),Consumable,Motor Vehicle Stores & Spares (GAD),0,
73,103897,103897,Shackle Pin Bush -FRONT (PITAL),Consumable,Motor Vehicle Stores & Spares (GAD),0,
74,103896,103896,"Clamp 5"" (FRONT)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
75,103895,103895,"Clamp 6"" (FRONT)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
76,103894,103894,Center Bolt - FRONT,Consumable,Motor Vehicle Stores & Spares (GAD),0,
77,103893,103893,"U-Bolt 11""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
78,103892,103892,"Auxiliary ""B"" FRONT Spring (MODI Com.)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
79,103891,103891,"Auxiliary ""A"" FRONT Spring (MODI Com.)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
80,103890,103890,Clamp Bolt (GS Com.),Consumable,Motor Vehicle Stores & Spares (GAD),0,
81,103889,103889,"Rear Clamp 5""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
82,103888,103888,"Rear Clamp 7""",Consumable,Motor Vehicle Stores & Spares (GAD),0,
83,103887,103887,"Auxiliary ""B"" REAR Spring-MODI Com. (1613)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
84,103886,103886,"Auxiliary ""A"" REAR Spring-MODI Com. (1613)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
85,103885,103885,"U-Bolt -19"" REAR (GS)",Consumable,Motor Vehicle Stores & Spares (GAD),0,
86,103884,103884,Battery 12 Volt 65AH (AMARON),Consumable,Motor Vehicle Stores & Spares (GAD),0,
87,103883,103883,Hubs Bearing - TATA WINGER,Consumable,Motor Vehicle Stores & Spares (GAD),0,
88,103882,103882,Engine Oil Cap (ISSUZU D-MAX),Consumable,Motor Vehicle Stores & Spares (GAD),0,
89,103257,103257,Battery 12V 65AH (BOSCH) ,Consumable,Motor Vehicle Stores & Spares (GAD),0,
90,102936,102936,Battery- Amaron (12Volts 80AH),Consumable,Motor Vehicle Stores & Spares (GAD),0,
91,103881,103881,Tyre - Falken (235/75 R15) Bolero,Consumable,Motor Vehicle Stores & Spares (GAD),0,
92,103880,103880,Endura Plate,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
93,103879,103879,Puller,Consumable,Tools and Tackle,0,
94,103878,103878,Lighting Arrester ,Consumable,Electrical (Stores & Spares),0,
95,103877,103877,Aluminum Cable,Consumable,Electrical (Stores & Spares),0,
96,103876,103876,Radium,Consumable,OHS Stores & Spares,0,
97,103875,103875,Switch Disconnector Fuse,Consumable,Electrical (Stores & Spares),0,
98,103874,103874,Bi-Metallic Relay,Consumable,Electrical (Stores & Spares),0,
99,103873,103873,Switch Gear,Consumable,Electrical (Stores & Spares),0,
100,103872,103872,Hot Melt Glue Gun with Glue Stick,Consumable,Tools and Tackle,0,
101,103871,103871,Exhaust fan for Welding Machine,Consumable,Plant & Machinery Stores & Spares (Weighbridge),0,
102,103870,103870,Pulsivo Scoldring Kit,Consumable,Tools and Tackle,0,
103,103869,103869,Welding Machine Switch,Consumable,Electrical (Stores & Spares),0,
104,103868,103868,Pedestal Fan,Consumable,Building & Civil Stores & Spares,0,
105,103867,103867,MRF Tyre - Bolero (235/75 R15),Consumable,Motor Vehicle Stores & Spares (GAD),0,
106,103866,103866,Operator Seat Assembly,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
107,103865,103865,Bearing 22328 ET41D,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
108,103864,103864,Bearing 22322 ET41D,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
109,103863,103863,Tube Injector Fuel,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
110,103862,103862,Fuel Injector-Bosch Combination,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
111,103861,103861,Fip-Bosh-Bosh-Combination,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
112,103860,103860,Slip Ring,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
113,103859,103859,Bearing 22318 E,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
114,103858,103858,Belt Fasteners 3���,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
115,100382,100382,"Belt Fastener No. 3""",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
116,100381,100381,Belt Fastener No. 2,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
117,103857,103857,Belt Fasteners 2���,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
118,103856,103856,Grinding Wheel,Consumable,Tools and Tackle,0,
119,103855,103855,"Tank Nipple 1""",Consumable,Building & Civil Stores & Spares,0,
120,100231,100231,Hydraulic Oil for Excavator ,Consumable,Lubricants,0,
121,103854,103854,Identy Card with Holder,Consumable,Office Printing & Stationery Stores & Spares,0,
122,103853,103853,Bowl,Consumable,Other Miscelleanous Stores & Spares,0,
123,103852,103852,Dapa,Consumable,Other Miscelleanous Stores & Spares,0,
124,103851,103851,Paint Brush 38mm,Consumable,Building & Civil Stores & Spares,0,
125,103850,103850,Chisel for Carpentry,Consumable,Tools and Tackle,0,
126,100888,100888,Belt Fasteners 2���,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
127,103849,103849,Lever Block 1.5 ton,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
128,103847,103847,Handle for Chisel,Consumable,Building & Civil Stores & Spares,0,
129,103846,103846,Cutter - Small,Consumable,Tools and Tackle,0,
130,103845,103845,Cutter Heavy,Consumable,Tools and Tackle,0,
131,103844,103844,Rock Light Torch,Consumable,OHS Stores & Spares,0,
132,103843,103843,Indicator Bulb - LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
133,103842,103842,Back Light Bulb for LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
134,103841,103841,"Nut Bolt 17"" for LPK 1618",Consumable,Motor Vehicle Stores & Spares (GAD),0,
135,103840,103840,Spring Bush (Front) for LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
136,103839,103839,"Nutbolt 19"" (Nylon) for LPK 1618",Consumable,Motor Vehicle Stores & Spares (GAD),0,
137,103838,103838,Cotter Pin for LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
138,103837,103837,Shackle Pin (Rear) for LKP 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
139,103836,103836,Hanger (Rear) for LKP 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
140,103835,103835,Side Washer for LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
141,103834,103834,Brake Adjuster (LH Front) LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
142,103833,103833,Brake Adjuster (RH Front) LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
143,103832,103832,Shackle Pin Washer for LPK 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
144,103831,103831,Greasing Nipple for TATA Prima,Consumable,Motor Vehicle Stores & Spares (GAD),0,
145,103830,103830,Pinion Oil Seal for TATA Prima,Consumable,Motor Vehicle Stores & Spares (GAD),0,
146,103829,103829,Phiroza Blue (Paint),Consumable,Building & Civil Stores & Spares,0,
147,103828,103828,Yellow Base,Consumable,Building & Civil Stores & Spares,0,
148,103827,103827,Brake Pad for Wheel Loader,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
149,103826,103826,Gasket - Wheel Loader (333/Y3275),Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
150,101488,101488,Toe Plate for Wheel Loader Bucket ,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
151,103825,103825,Wire 2.5mm,Consumable,Electrical (Stores & Spares),0,
152,100318,100318,Binding wire,Consumable,Building & Civil Stores & Spares,0,
153,103824,103824,Toilet Pipe,Consumable,Building & Civil Stores & Spares,0,
154,103823,103823,Hyd Oil temp Sensor,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
155,103822,103822,E-stop Relay,Consumable,Electrical (Stores & Spares),0,
156,103821,103821,Sensor Cable,Consumable,Electrical (Stores & Spares),0,
157,103820,103820,Solenoid Poppet Valve,Consumable,Electrical (Stores & Spares),0,
158,103819,103819,Flat Face Coupling,Consumable,Plant & Machinery Stores & Spares (ICM),0,
159,103818,103818,Test Point,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
160,103817,103817,Friction Disc,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
161,103807,103807,Gear Oil EP 68,Consumable,Lubricants,0,
162,103816,103816,Filter Clamp,Consumable,Plant & Machinery Stores & Spares (Weel loaders),0,
163,103815,103815,Base Frame,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
164,103814,103814,Electric Motor,Consumable,Electrical (Stores & Spares),0,
165,103813,103813,Self Priming Multistage High Pressure Pump,Consumable,Electrical (Stores & Spares),0,
166,103812,103812,MS Rectangular Pipe,Consumable,Building & Civil Stores & Spares,0,
167,103811,103811,Plier,Consumable,Tools and Tackle,0,
168,103810,103810,ISMB Joist ,Consumable,Plant & Machinery Stores & Spares (Weighbridge),0,
169,101174,101174,Magnetic Contactor ( 3TF34) Make - Siemens,Consumable,Electrical (Stores & Spares),0,
170,103809,103809,Laptop Bag,Consumable,Other Miscelleanous Stores & Spares,0,
171,103806,103806,Gear Oil EP 680,Consumable,Lubricants,0,
172,102604,102604,Coolant ,Consumable,Lubricants,0,
173,103808,103808,Gear Oil EP 150,Consumable,Lubricants,0,
174,103241,103241,Hydraulic Oil 68 ,Consumable,Lubricants,0,
175,103805,103805,Bushing Taper Lock,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
176,103804,103804,Roller,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
177,103803,103803,Mounting,Consumable,Plant & Machinery Stores & Spares (ECM),0,
178,103802,103802,"Cartridge, Filter",Consumable,Plant & Machinery Stores & Spares (ECM),0,
179,103801,103801,Pressure Test Kit,Consumable,Tools and Tackle,0,
180,103800,103800,Bolt,Consumable,Plant & Machinery Stores & Spares (ECM),0,
181,103799,103799,"Bushing, Half",Consumable,Machine Control Unit (60526020),0,
182,103798,103798,Plug,Consumable,Plant & Machinery Stores & Spares (ECM),0,
183,103797,103797,Washer,Consumable,Plant & Machinery Stores & Spares (ECM),0,
184,103796,103796,Nut,Consumable,Plant & Machinery Stores & Spares (ECM),0,
185,103795,103795,"Plate, Lock",Consumable,Plant & Machinery Stores & Spares (ECM),0,
186,103794,103794,"Plate, Motor",Consumable,Plant & Machinery Stores & Spares (ECM),0,
187,103793,103793,Bracket Feed Motor,Consumable,Plant & Machinery Stores & Spares (ECM),0,
188,103792,103792,"Switch, Proximity",Consumable,Plant & Machinery Stores & Spares (ECM),0,
189,103791,103791,Liner Upper,Consumable,Plant & Machinery Stores & Spares (ECM),0,
190,103790,103790,Liner Lower,Consumable,Plant & Machinery Stores & Spares (ECM),0,
191,103789,103789,Spacer,Consumable,Plant & Machinery Stores & Spares (ECM),0,
192,103788,103788,Start Run Valve assembly,Consumable,Plant & Machinery Stores & Spares (ECM),0,
193,103787,103787,"Valve, Air",Consumable,Plant & Machinery Stores & Spares (ECM),0,
194,103786,103786,Element Rubber,Consumable,Plant & Machinery Stores & Spares (ECM),0,
195,103785,103785,Control Valve Assembly,Consumable,Plant & Machinery Stores & Spares (ECM),0,
196,103784,103784,"Hose, Hump",Consumable,Plant & Machinery Stores & Spares (ECM),0,
197,103783,103783,Power Socket 10amps,Consumable,Electrical (Stores & Spares),0,
198,103782,103782,Power Socket 20amps,Consumable,Electrical (Stores & Spares),0,
199,103781,103781,Modular Plate,Consumable,Electrical (Stores & Spares),0,
200,103780,103780,Pulley SPB 400x2B Type,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
201,103779,103779,Electric Water Boiler,Consumable,Other Miscelleanous Stores & Spares,0,
202,103778,103778,"Plate EN-8, 16mm thick",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
203,103777,103777,"Plate EN-8, 10mm thick",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
204,103776,103776,"Plate EN-8, 8mm thick",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
205,103775,103775,Berret Cap,Consumable,OHS Stores & Spares,0,
206,103774,103774,Security Cloth Name Plate,Consumable,Other Miscelleanous Stores & Spares,0,
207,103773,103773,Belt,Consumable,OHS Stores & Spares,0,
208,103772,103772,Cap,Consumable,OHS Stores & Spares,0,
209,103771,103771,"Pinion 14 Teeth, 80mm Dia, Teeth depth 15mm, Pitch 15mm",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
210,103770,103770,"Pinion 72 Teeth, 470mm Dia, Teeth depth 15mm, Pitch 15mm",Consumable,Plant & Machinery Stores & Spares (Crusher),0,
211,103769,103769,Pully 2Bx20'',Consumable,Plant & Machinery Stores & Spares (Crusher),0,
212,103768,103768,Pully 2Bx3'',Consumable,Plant & Machinery Stores & Spares (Crusher),0,
213,103767,103767,Pump,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
214,100413,100413,Rock Tooth for SK210,Consumable,Plant & Machinery Stores & Spares (Excavators),0,
215,103766,103766,Change Over Switch 400 Amps,Consumable,Electrical (Stores & Spares),0,
216,103765,103765,Hand Sanitizer 1L (AWPL),Consumable,OHS Stores & Spares,0,
217,103764,103764,TLD - Twindet 4 Mtrs,Consumable,Explosive Stores & Spares,0,
218,103763,103763,"Multi Colour Fabric (44'' width & length, un-laminated fabric)",Consumable,OHS Stores & Spares,0,
219,102843,102843,"Multi Colour Fabric (44'' width & length, un-laminated fabric)",Consumable,OHS Stores & Spares,0,
220,100606,100606,Red Oxide Metal Primer ,Consumable,Building & Civil Stores & Spares,0,
221,100152,100152,Copper wire 1.5sqmm,Consumable,Electrical (Stores & Spares),0,
222,100153,100153,Copper Wire 2.5 sq mm,Consumable,Electrical (Stores & Spares),0,
223,102782,102782,TLD - Twindet 4 Mtrs,Consumable,Explosive Stores & Spares,0,
224,103762,103762,Camouflage Cloth ,Consumable,OHS Stores & Spares,0,
225,103761,103761,MRF Tyre- Rear (7.50 -16) for Star Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
226,103760,103760,MRF Tyre- Front (7.50 -16) for Star Bus,Consumable,Motor Vehicle Stores & Spares (GAD),0,
227,103759,103759,MRF Tyre-Rear (11.00-20) for TATA Prima,Consumable,Motor Vehicle Stores & Spares (GAD),0,
228,103758,103758,MRF Tyre-Front (11.00-20) for TATA Prima,Consumable,Motor Vehicle Stores & Spares (GAD),0,
229,103757,103757,MRF Tyre Rear (10.00-20) for TATA Tipper 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
230,103756,103756,MRF Tyre Front (10.00-20) for TATA Tipper 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
231,103755,103755,Bumper Light - Right (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
232,103754,103754,Bumper Light-Left (DC Turbo Bolero),Consumable,Motor Vehicle Stores & Spares (GAD),0,
233,103753,103753,Back Light for DC Turbo Bolero,Consumable,Motor Vehicle Stores & Spares (GAD),0,
234,103752,103752,Looking Mirror (Water Tanker),Consumable,Motor Vehicle Stores & Spares (GAD),0,
235,103751,103751,Flower Pot,Consumable,Other Miscelleanous Stores & Spares,0,
236,103750,103750,Magnetic Switch for TATA 1613,Consumable,Motor Vehicle Stores & Spares (GAD),0,
237,103749,103749,Window Handle for TATA Tipper 1618,Consumable,Motor Vehicle Stores & Spares (GAD),0,
238,103748,103748,Crank Shaft,Consumable,Plant & Machinery Stores & Spares (Crusher),0,
