Column Labels:,ID,Stock Entry Title,Stock Entry Purpose,Stock Entry Series,Company,Posting Date,Posting Time,Source Warehouse,Receiving Warehouse,Equipment,Vehicle No,Transporter Name,Vehicle dispatch date,Unloading By,Equipment Model,Tyre Weight,Gross Vehicle Weight,Weight Slip No,POL Slip No,,Material Code,Qty,UOM,Stock UOM,Difference Account,Cost Center,Material Name,Basic Rate (as per Stock UOM),Basic Amount,Amount,Valuation Rate,Received Qty,Difference Qty,Basic Rate(D),Basic Amount(D),Remarks
Column Name:,name,title,purpose,naming_series,company,posting_date,posting_time,from_warehouse,to_warehouse,equipment,equipment_number,transporter_name,vehicle_dispatch_date_and_time,unloading_by,equipment_model,tyre_weight,gross_vehicle_weight,weight_slip_no,pol_slip_no,~,item_code,qty,uom,stock_uom,expense_account,cost_center,item_name,basic_rate,basic_amount,amount,valuation_rate,received_qty,difference_qty,basic_rate1,basic_amount1,remarks
Mandatory:,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
Type:,Data (text),Data,Select,Select,Link,Date,Time,Link,Link,Link,Read Only,Data,Data,Select,Read Only,Float,Data,Data,Data,,Link,Float,Link,Link,Link,Link,Data,Currency,Currency,Currency,Currency,Float,Float,Currency,Currency,Text
Info:,,,"One of: Material Issue, Material Receipt, Material Transfer","One of: Consumable GR, Capital Inventory GR, Coal GR, Dolomite GR, Gypsum GR, Stone GR, Limestone GR, Bauxite GR, Quartzite GR, Talc GR, 0-5 mm Dust GR, 10-20 mm Aggregates GR, 40 mm Aggregates GR",Valid Company,,,Valid Warehouse,Valid Warehouse,Valid Equipment,,,,"One of: Transporter, Company",,,,,,,Valid Item,,Valid UOM,Valid UOM,Valid Account,Valid Cost Center,,,,,,,,,,
Start entering data below this line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190098,BP-1A-3014,,,Transporter,,6.81,23.28,400,341,,300017,16.31,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19871.1254,19871.1254,"1,218.34",16.47,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190105,BP-2A-9189,,,Company,,7.25,24.01,402,366,,300017,16.63,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",20260.9942,20260.9942,"1,218.34",16.76,0.13,"1,218.34",158.3842,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190054,BP-1A-2596,,,Transporter,,7,22.6,388,326,,300017,15.43,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18798.9862,18798.9862,"1,218.34",15.6,0.17,"1,218.34",207.1178,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190068,BP-2A-5165,,,Company,,7.11,24.39,421,379,,300017,17.12,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",20857.9808,20857.9808,"1,218.34",17.28,0.16,"1,218.34",194.9344,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190055,BP-1A-2870,,,Transporter,,7.05,23.05,406,349,,300017,15.81,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19261.9554,19261.9554,"1,218.34",16,0.19,"1,218.34",231.4846,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190113,BP-2A-5062,,,Transporter,,6.85,23.06,428,371,,300017,16.02,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",19517.8068,19517.8068,"1,218.34",16.21,0.19,"1,218.34",231.4846,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190145,BP-2A-5528,,,Company,,7.39,24.67,405,,,300017,17.14,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",20882.3476,20882.3476,"1,218.34",17.28,0.14,"1,218.34",170.5676,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190069,BP-2A-9520,,,Company,,7.14,24.85,502,420,,300017,17.54,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",21369.6836,21369.6836,"1,218.34",17.71,0.17,"1,218.34",207.1178,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190115,BP-2A-3278,,,Company,,7.03,22.74,411,370,,300017,15.57,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18969.5538,18969.5538,"1,218.34",15.71,0.14,"1,218.34",170.5676,
,,Stock Transfer for Gypsum,Material Transfer,Inventory Transfer,State Mining Corporation Ltd,11/1/2019,16:24:00,Khothagpa Gypsum Mines - SMCL,Samdrup Jongkhar Gypsum Stockyard - SMCL,EQUIP190041,BP-2A-5468,,,Transporter,,6.63,21.8,403,345,,300017,15.01,MT,MT,Cost of Good Manufacture - SMCL,Khothakpa Gypsum Mine - SMCL,Gypsum Crushed,"1,218.34",18287.2834,18287.2834,"1,218.34",15.17,0.16,"1,218.34",194.9344,
